"year","team","opponent","point_diff"
2016,"Northern Iowa","Texas A&M",-4
2016,"VCU","Oklahoma",-4
2016,"Oregon","Duke",14
2016,"Texas A&M","Oklahoma",-14
2016,"Oregon","Oklahoma",-12
2016,"Virginia","Hampton",36
2016,"Texas Tech","Butler",-10
2016,"Purdue","Arkansas Little Rock",-2
2016,"Iowa St.","Iona",13
2016,"Seton Hall","Gonzaga",-16
2016,"Utah","Fresno St.",11
2016,"Dayton","Syracuse",-19
2016,"Michigan St.","Middle Tennessee",-9
2016,"Virginia","Butler",8
2016,"Arkansas Little Rock","Iowa St.",-17
2016,"Gonzaga","Utah",23
2016,"Syracuse","Middle Tennessee",25
2016,"Virginia","Iowa St.",13
2016,"Gonzaga","Syracuse",-3
2016,"Virginia","Syracuse",-6
2016,"Villanova","Oklahoma",44
2016,"Syracuse","North Carolina",-17
2016,"Villanova","North Carolina",3
2017,"New Orleans","Mount St. Mary's",-1
2017,"USC","Providence",4
2017,"Villanova","Mount St. Mary's",20
2017,"Wisconsin","Virginia Tech",10
2017,"Virginia","UNC Wilmington",5
2017,"Florida","East Tennessee St.",15
2017,"SMU","USC",-1
2017,"Baylor","New Mexico St.",18
2017,"South Carolina","Marquette",20
2017,"Duke","Troy",22
2017,"Villanova","Wisconsin",-3
2017,"Virginia","Florida",-26
2017,"USC","Baylor",-4
2017,"South Carolina","Duke",7
2017,"Wisconsin","Florida",-1
2017,"Baylor","South Carolina",-20
2017,"Florida","South Carolina",-7
2017,"UC-Davis","North Carolina Central",4
2017,"Kansas","UC-Davis",38
2017,"Miami FL","Michigan St.",-20
2017,"Iowa St.","Nevada",11
2017,"Purdue","Vermont",10
2017,"Creighton","Rhode Island",-12
2017,"Oregon","Iona",16
2017,"Michigan","Oklahoma St.",1
2017,"Louisville","Jacksonville St.",15
2017,"Kansas","Michigan St.",20
2017,"Iowa St.","Purdue",-4
2017,"Rhode Island","Oregon",-3
2017,"Michigan","Louisville",4
2017,"Kansas","Purdue",32
2017,"Oregon","Michigan",1
2017,"Kansas","Oregon",-14
2017,"Wake Forest","Kansas St.",-7
2017,"North Carolina","Texas Southern",39
2017,"Arkansas","Seton Hall",6
2017,"Minnesota","Middle Tennessee",-9
2017,"Butler","Winthrop",12
2017,"Cincinnati","Kansas St.",14
2017,"UCLA","Kent St.",17
2017,"Dayton","Wichita St.",-6
2017,"Kentucky","Northern Kentucky",9
2017,"North Carolina","Arkansas",7
2017,"Middle Tennessee","Butler",-9
2017,"Cincinnati","UCLA",-12
2017,"Wichita St.","Kentucky",-3
2017,"North Carolina","Butler",12
2017,"UCLA","Kentucky",-11
2017,"North Carolina","Kentucky",2
2017,"Gonzaga","South Dakota St.",20
2017,"Northwestern","Vanderbilt",2
2017,"Notre Dame","Princeton",2
2017,"West Virginia","Bucknell",6
2017,"Maryland","Xavier",-11
2017,"Florida St.","Florida Gulf Coast",6
2017,"Saint Mary's","VCU",8
2017,"Arizona","North Dakota",18
2017,"Gonzaga","Northwestern",6
2017,"Notre Dame","West Virginia",-12
2017,"Xavier","Florida St.",25
2017,"Saint Mary's","Arizona",-9
2017,"Gonzaga","West Virginia",3
2017,"Xavier","Arizona",2
2017,"Gonzaga","Xavier",24
2017,"Oregon","North Carolina",-1
2017,"South Carolina","Gonzaga",-4
2017,"North Carolina","Gonzaga",6
2018,"LIU","Radford",-10
2018,"St. Bonaventure","UCLA",7
2018,"Villanova","Radford",26
2018,"Virginia Tech","Alabama",-3
2018,"West Virginia","Murray St.",17
2018,"Wichita St.","Marshall",-6
2018,"Florida","St. Bonaventure",15
2018,"Texas Tech","Stephen F. Austin",10
2018,"Arkansas","Butler",-17
2018,"Purdue","Cal St. Fullerton",26
2018,"Villanova","Alabama",23
2018,"West Virginia","Marshall",23
2018,"Florida","Texas Tech",-3
2018,"Butler","Purdue",-3
2018,"Villanova","West Virginia",12
2018,"Texas Tech","Purdue",13
2018,"Villanova","Texas Tech",12
2018,"Syracuse","Arizona St.",4
2018,"Kansas","Penn",16
2018,"Seton Hall","North Carolina St.",11
2018,"Clemson","New Mexico St.",11
2018,"Auburn","College of Charleston",4
2018,"TCU","Syracuse",-5
2018,"Michigan St.","Bucknell",4
2018,"Rhode Island","Oklahoma",5
2018,"Duke","Iona",22
2018,"Kansas","Seton Hall",4
2018,"Clemson","Auburn",31
2018,"Syracuse","Michigan St.",2
2018,"Rhode Island","Duke",-25
2018,"Kansas","Clemson",4
2018,"Syracuse","Duke",-4
2018,"Kansas","Duke",4
2018,"Texas Southern","North Carolina Central",18
2018,"Xavier","Texas Southern",19
2018,"Missouri","Florida St.",-13
2018,"Ohio St.","South Dakota St.",8
2018,"Gonzaga","UNC Greensboro",4
2018,"Houston","San Diego St.",2
2018,"Michigan","Montana",14
2018,"Texas A&M","Providence",4
2018,"North Carolina","Lipscomb",18
2018,"Xavier","Florida St.",-5
2018,"Ohio St.","Gonzaga",-6
2018,"Houston","Michigan",-1
2018,"Texas A&M","North Carolina",21
2018,"Florida St.","Gonzaga",15
2018,"Michigan","Texas A&M",27
2018,"Florida St.","Michigan",-4
2018,"Virginia","UMBC",-20
2018,"Creighton","Kansas St.",-10
2018,"Kentucky","Davidson",5
2018,"Arizona","Buffalo",-21
2018,"Miami FL","Loyola IL",-2
2018,"Tennessee","Wright St.",26
2018,"Nevada","Texas",4
2018,"Cincinnati","Georgia St.",15
2018,"UMBC","Kansas St.",-7
2018,"Kentucky","Buffalo",20
2018,"Loyola IL","Tennessee",1
2018,"Nevada","Cincinnati",2
2018,"Kansas St.","Kentucky",3
2018,"Loyola IL","Nevada",1
2018,"Kansas St.","Loyola IL",-16
2018,"Villanova","Kansas",16
2018,"Loyola IL","Michigan",-12
2018,"Villanova","Michigan",17
